Image,datetime,x_centre[px],y_centre[px],x_centre[mm],y_centre[mm],rel_diff_x[mm],rel_diff_y[mm]
IMG_13028_2024-02-05_10-19-23.jpg,2024-02-05_10-19-23,165,199,72.12099345,86.98228907,0.0,0.0
IMG_13029_2024-02-05_10-24-31.jpg,2024-02-05_10-24-31,164,188,71.68389652,82.17422284,-0.4370969299999956,-4.808066229999994
IMG_13030_2024-02-05_10-29-39.jpg,2024-02-05_10-29-39,163,189,71.24679959,82.61131977,-0.4370969300000098,0.4370969299999956
IMG_13031_2024-02-05_10-34-47.jpg,2024-02-05_10-34-47,167,195,72.99518731,85.23390135,1.7483877200000109,2.622581580000002
IMG_13032_2024-02-05_10-39-55.jpg,2024-02-05_10-39-55,167,196,72.99518731,85.67099827999999,0.0,0.4370969299999956
IMG_13033_2024-02-05_10-45-03.jpg,2024-02-05_10-45-03,164,194,71.68389652,84.79680442,-1.311290790000001,-0.8741938599999912
IMG_13034_2024-02-05_10-50-11.jpg,2024-02-05_10-50-11,166,196,72.55809038,85.67099827999999,0.8741938599999912,0.8741938599999912
IMG_13035_2024-02-05_10-55-19.jpg,2024-02-05_10-55-19,165,198,72.12099345,86.54519214,-0.4370969299999956,0.8741938600000054
IMG_13036_2024-02-05_11-00-27.jpg,2024-02-05_11-00-27,163,192,71.24679959,83.92261056,-0.8741938600000054,-2.622581580000002
IMG_13037_2024-02-05_11-05-35.jpg,2024-02-05_11-05-35,163,188,71.24679959,82.17422284,0.0,-1.7483877199999966
IMG_13038_2024-02-05_11-10-43.jpg,2024-02-05_11-10-43,165,194,72.12099345,84.79680442,0.8741938600000054,2.622581580000002
IMG_13039_2024-02-05_11-15-51.jpg,2024-02-05_11-15-51,165,195,72.12099345,85.23390135,0.0,0.4370969299999956
IMG_13040_2024-02-05_11-20-59.jpg,2024-02-05_11-20-59,166,199,72.55809038,86.98228907,0.4370969299999956,1.7483877199999966
IMG_13041_2024-02-05_11-26-07.jpg,2024-02-05_11-26-07,165,192,72.12099345,83.92261056,-0.4370969299999956,-3.0596785099999977
IMG_13042_2024-02-05_11-31-15.jpg,2024-02-05_11-31-15,163,197,71.24679959,86.10809521,-0.8741938600000054,2.1854846500000065
IMG_13043_2024-02-05_11-36-23.jpg,2024-02-05_11-36-23,165,192,72.12099345,83.92261056,0.8741938600000054,-2.1854846500000065
IMG_13044_2024-02-05_11-41-31.jpg,2024-02-05_11-41-31,164,189,71.68389652,82.61131977,-0.4370969299999956,-1.311290790000001
IMG_13045_2024-02-05_11-46-39.jpg,2024-02-05_11-46-39,166,194,72.55809038,84.79680442,0.8741938599999912,2.1854846500000065
IMG_13046_2024-02-05_11-51-47.jpg,2024-02-05_11-51-47,163,183,71.24679959,79.98873818999999,-1.311290790000001,-4.8080662300000085
IMG_13047_2024-02-05_11-56-55.jpg,2024-02-05_11-56-55,167,191,72.99518731,83.48551363,1.7483877200000109,3.4967754400000075
IMG_13048_2024-02-05_12-02-03.jpg,2024-02-05_12-02-03,165,193,72.12099345,84.35970749,-0.8741938600000054,0.8741938600000054
IMG_13049_2024-02-05_12-07-11.jpg,2024-02-05_12-07-11,167,197,72.99518731,86.10809521,0.8741938600000054,1.7483877199999966
IMG_13050_2024-02-05_12-12-19.jpg,2024-02-05_12-12-19,165,193,72.12099345,84.35970749,-0.8741938600000054,-1.7483877199999966
IMG_13051_2024-02-05_12-17-27.jpg,2024-02-05_12-17-27,163,191,71.24679959,83.48551363,-0.8741938600000054,-0.8741938600000054
IMG_13052_2024-02-05_12-22-35.jpg,2024-02-05_12-22-35,166,186,72.55809038,81.30002898,1.311290790000001,-2.1854846500000065
IMG_13053_2024-02-05_12-27-43.jpg,2024-02-05_12-27-43,166,198,72.55809038,86.54519214,0.0,5.245163160000004
IMG_13054_2024-02-05_12-32-51.jpg,2024-02-05_12-32-51,165,192,72.12099345,83.92261056,-0.4370969299999956,-2.622581580000002
IMG_13055_2024-02-05_12-37-59.jpg,2024-02-05_12-37-59,144,150,62.94195792,65.5645395,-9.17903553,-18.35807106
IMG_13056_2024-02-05_12-43-07.jpg,2024-02-05_12-43-07,165,186,72.12099345,81.30002898,9.17903553,15.735489479999998
IMG_13057_2024-02-05_12-48-15.jpg,2024-02-05_12-48-15,165,192,72.12099345,83.92261056,0.0,2.622581580000002
IMG_13058_2024-02-05_12-53-23.jpg,2024-02-05_12-53-23,164,196,71.68389652,85.67099827999999,-0.4370969299999956,1.7483877199999966
IMG_13059_2024-02-05_12-58-31.jpg,2024-02-05_12-58-31,166,187,72.55809038,81.73712591,0.8741938599999912,-3.933872369999989
IMG_13060_2024-02-05_13-03-39.jpg,2024-02-05_13-03-39,148,137,64.69034564,59.88227941,-7.867744739999992,-21.8548465
IMG_13061_2024-02-05_13-08-47.jpg,2024-02-05_13-08-47,168,193,73.43228424,84.35970749,8.741938599999997,24.477428080000003
IMG_13062_2024-02-05_13-13-55.jpg,2024-02-05_13-13-55,142,119,62.06776406,52.014534669999996,-11.36452018,-32.34517282000001
IMG_13063_2024-02-05_13-19-03.jpg,2024-02-05_13-19-03,142,122,62.06776406,53.32582546,0.0,1.311290790000001
IMG_13064_2024-02-05_13-24-11.jpg,2024-02-05_13-24-11,165,196,72.12099345,85.67099827999999,10.053229389999998,32.345172819999995
IMG_13065_2024-02-05_13-29-19.jpg,2024-02-05_13-29-19,154,159,67.31292722,69.49841187,-4.808066229999994,-16.172586409999994
IMG_13066_2024-02-05_13-34-27.jpg,2024-02-05_13-34-27,163,196,71.24679959,85.67099827999999,3.933872369999989,16.172586409999994
IMG_13067_2024-02-05_13-39-35.jpg,2024-02-05_13-39-35,169,205,73.86938117,89.60487065,2.622581580000002,3.933872370000003
IMG_13068_2024-02-05_13-44-43.jpg,2024-02-05_13-44-43,166,193,72.55809038,84.35970749,-1.311290790000001,-5.24516315999999
IMG_13069_2024-02-05_13-49-51.jpg,2024-02-05_13-49-51,165,197,72.12099345,86.10809521,-0.4370969299999956,1.7483877199999966
IMG_13070_2024-02-05_13-54-59.jpg,2024-02-05_13-54-59,165,192,72.12099345,83.92261056,0.0,-2.1854846500000065
IMG_13071_2024-02-05_14-00-07.jpg,2024-02-05_14-00-07,165,194,72.12099345,84.79680442,0.0,0.8741938600000054
IMG_13072_2024-02-05_14-05-15.jpg,2024-02-05_14-05-15,166,200,72.55809038,87.419386,0.4370969299999956,2.622581580000002
IMG_13073_2024-02-05_14-10-23.jpg,2024-02-05_14-10-23,165,189,72.12099345,82.61131977,-0.4370969299999956,-4.8080662300000085
IMG_13074_2024-02-05_14-15-31.jpg,2024-02-05_14-15-31,165,193,72.12099345,84.35970749,0.0,1.7483877200000109
IMG_13075_2024-02-05_14-20-39.jpg,2024-02-05_14-20-39,165,194,72.12099345,84.79680442,0.0,0.4370969299999956
IMG_13076_2024-02-05_14-25-47.jpg,2024-02-05_14-25-47,167,198,72.99518731,86.54519214,0.8741938600000054,1.7483877199999966
IMG_13077_2024-02-05_14-30-55.jpg,2024-02-05_14-30-55,165,203,72.12099345,88.73067679,-0.8741938600000054,2.1854846500000065
IMG_13078_2024-02-05_14-36-03.jpg,2024-02-05_14-36-03,164,192,71.68389652,83.92261056,-0.4370969299999956,-4.8080662300000085
IMG_13079_2024-02-05_14-41-11.jpg,2024-02-05_14-41-11,166,198,72.55809038,86.54519214,0.8741938599999912,2.622581580000002
IMG_13080_2024-02-05_14-46-19.jpg,2024-02-05_14-46-19,167,197,72.99518731,86.10809521,0.4370969300000098,-0.4370969299999956
IMG_13081_2024-02-05_14-51-27.jpg,2024-02-05_14-51-27,163,195,71.24679959,85.23390135,-1.7483877200000109,-0.8741938600000054
IMG_13082_2024-02-05_14-56-35.jpg,2024-02-05_14-56-35,163,190,71.24679959,83.0484167,0.0,-2.1854846499999923
IMG_13083_2024-02-05_15-01-43.jpg,2024-02-05_15-01-43,163,195,71.24679959,85.23390135,0.0,2.1854846499999923
IMG_13084_2024-02-05_15-06-51.jpg,2024-02-05_15-06-51,164,196,71.68389652,85.67099827999999,0.4370969300000098,0.4370969299999956
IMG_13085_2024-02-05_15-11-59.jpg,2024-02-05_15-11-59,164,198,71.68389652,86.54519214,0.0,0.8741938600000054
IMG_13086_2024-02-05_15-17-07.jpg,2024-02-05_15-17-07,161,194,70.37260573,84.79680442,-1.311290790000001,-1.7483877199999966
IMG_13087_2024-02-05_15-22-15.jpg,2024-02-05_15-22-15,164,194,71.68389652,84.79680442,1.311290790000001,0.0
IMG_13088_2024-02-05_15-27-23.jpg,2024-02-05_15-27-23,161,199,70.37260573,86.98228907,-1.311290790000001,2.1854846499999923
IMG_13089_2024-02-05_15-32-31.jpg,2024-02-05_15-32-31,148,160,64.69034564,69.9355088,-5.68226009,-17.04678027
IMG_13090_2024-02-05_15-37-39.jpg,2024-02-05_15-37-39,140,146,61.193570199999996,63.81615178,-3.4967754400000075,-6.119357019999995
IMG_13091_2024-02-05_15-42-47.jpg,2024-02-05_15-42-47,163,197,71.24679959,86.10809521,10.053229389999998,22.291943430000003
IMG_13092_2024-02-05_15-47-55.jpg,2024-02-05_15-47-55,163,205,71.24679959,89.60487065,0.0,3.4967754399999933
IMG_13093_2024-02-05_15-53-03.jpg,2024-02-05_15-53-03,164,201,71.68389652,87.85648293,0.4370969300000098,-1.7483877199999966
IMG_13094_2024-02-05_15-58-11.jpg,2024-02-05_15-58-11,152,172,66.43873336,75.18067196,-5.245163160000004,-12.67581097
IMG_13095_2024-02-05_16-03-19.jpg,2024-02-05_16-03-19,159,204,69.49841187,89.16777372,3.0596785099999977,13.987101760000002
IMG_13328_2024-02-06_11-59-29.jpg,2024-02-06_11-59-29,165,189,72.12099345,82.61131977,2.622581580000002,-6.556453950000005
IMG_13329_2024-02-06_12-04-37.jpg,2024-02-06_12-04-37,165,189,72.12099345,82.61131977,0.0,0.0
IMG_13330_2024-02-06_12-09-45.jpg,2024-02-06_12-09-45,165,196,72.12099345,85.67099827999999,0.0,3.0596785099999977
IMG_13347_2024-02-06_13-37-01.jpg,2024-02-06_13-37-01,170,194,74.30647809999999,84.79680442,2.1854846499999923,-0.8741938599999912
IMG_13348_2024-02-06_13-42-09.jpg,2024-02-06_13-42-09,170,186,74.30647809999999,81.30002898,0.0,-3.4967754400000075
IMG_13349_2024-02-06_13-47-17.jpg,2024-02-06_13-47-17,170,192,74.30647809999999,83.92261056,0.0,2.622581580000002
IMG_13350_2024-02-06_13-52-25.jpg,2024-02-06_13-52-25,170,189,74.30647809999999,82.61131977,0.0,-1.311290790000001
IMG_13351_2024-02-06_13-57-33.jpg,2024-02-06_13-57-33,170,193,74.30647809999999,84.35970749,0.0,1.7483877200000109
IMG_13352_2024-02-06_14-02-41.jpg,2024-02-06_14-02-41,171,184,74.74357503,80.42583512,0.4370969300000098,-3.933872370000003
IMG_13353_2024-02-06_14-07-49.jpg,2024-02-06_14-07-49,170,192,74.30647809999999,83.92261056,-0.4370969300000098,3.4967754399999933
IMG_13354_2024-02-06_14-12-57.jpg,2024-02-06_14-12-57,170,189,74.30647809999999,82.61131977,0.0,-1.311290790000001
IMG_13355_2024-02-06_14-18-05.jpg,2024-02-06_14-18-05,170,192,74.30647809999999,83.92261056,0.0,1.311290790000001
IMG_13356_2024-02-06_14-23-13.jpg,2024-02-06_14-23-13,169,189,73.86938117,82.61131977,-0.4370969299999956,-1.311290790000001
